word_with_nonalpha_inside,word_with_nonalpha_inside_lower_n_in_into_reading,word_with_nonalpha_inside_lower,word_with_nonalpha_inside_lower_alpha_only
Barb's,1,barb's,barbs
Bear's,2,bear's,bears
Beth's,2,beth's,beths
Bob's,1,bob's,bobs
Bobcat's,1,bobcat's,bobcats
Dad's,1,dad's,dads
Don't,4,don't,dont
Faith's,1,faith's,faiths
Firefly's,1,firefly's,fireflys
Fox's,1,fox's,foxs
Gail's,1,gail's,gails
Gram's,1,gram's,grams
He'll,1,he'll,hell
I'd,1,i'd,id
I'll,12,i'll,ill
I'm,14,i'm,im
I've,1,i've,ive
Isn't,1,isn't,isnt
It's,13,it's,its
Jay's,1,jay's,jays
Joan's,1,joan's,joans
Joe's,1,joe's,joes
Let's,10,let's,lets
Mark's,1,mark's,marks
Mom's,1,mom's,moms
Paul's,1,paul's,pauls
Pete's,3,pete's,petes
Phil's,4,phil's,phils
Rose's,4,rose's,roses
Snake's,1,snake's,snakes
Snow's,1,snow's,snows
Star's,1,star's,stars
That's,12,that's,thats
There's,1,there's,theres
Turtle's,2,turtle's,turtles
Wasn't,1,wasn't,wasnt
We'll,5,we'll,well
We're,1,we're,were
We've,1,we've,weve
Wren's,1,wren's,wrens
You'll,4,you'll,youll
animal's,4,animal's,animals
bird's,3,bird's,birds
black-eyed,1,black-eyed,blackeyed
blue-gray,1,blue-gray,bluegray
can't,32,can't,cant
cat's,1,cat's,cats
couldn't,5,couldn't,couldnt
crab's,1,crab's,crabs
dad's,1,dad's,dads
didn't,17,didn't,didnt
doesn't,4,doesn't,doesnt
don't,32,don't,dont
don’t,1,don’t,dont
elk's,1,elk's,elks
family's,1,family's,familys
first-aid,1,first-aid,firstaid
gull's,2,gull's,gulls
haven't,1,haven't,havent
he's,1,he's,hes
house's,1,house's,houses
isn't,1,isn't,isnt
it's,12,it's,its
let's,6,let's,lets
man's,1,man's,mans
mom's,2,mom's,moms
pal's,2,pal's,pals
people's,2,people's,peoples
reptile's,1,reptile's,reptiles
seal's,2,seal's,seals
shark's,3,shark's,sharks
she'll,1,she'll,shell
sloth's,1,sloth's,sloths
song's,1,song's,songs
team's,3,team's,teams
tent's,1,tent's,tents
that's,6,that's,thats
they'd,1,they'd,theyd
they're,2,they're,theyre
thing's,1,thing's,things
tree's,1,tree's,trees
vet's,4,vet's,vets
wasn't,4,wasn't,wasnt
we'll,5,we'll,well
we're,5,we're,were
we've,2,we've,weve
whale's,1,whale's,whales
won't,9,won't,wont
won’t,1,won’t,wont
wouldn't,3,wouldn't,wouldnt
you'll,1,you'll,youll
you're,4,you're,youre
you've,1,you've,youve
